Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Unnamed: 20_level_0,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors
Rk,Tm,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Unnamed: 15_level_1,eFG%,TOV%,ORB%,FT/FGA,Unnamed: 20_level_1,eFG%,TOV%,DRB%,FT/FGA
1.0,San Antonio Spurs,30.7,6.0,4.0,0.6,8,2,111.0,101.1,9.9,91.9,0.248,0.232,0.557,,0.519,11.2,20.3,0.199,,0.467,14.2,71.7,0.208
2.0,Cleveland Cavaliers,28.0,16.0,5.0,0.762,16,5,115.5,106.0,9.5,90.7,0.267,0.37,0.573,,0.544,12.0,26.8,0.193,,0.51,12.8,79.0,0.189
3.0,Oklahoma City Thunder,25.6,11.0,7.0,0.611,12,6,111.8,106.2,5.6,95.2,0.326,0.295,0.551,,0.501,12.6,29.6,0.256,,0.499,11.5,78.7,0.191
4.0,Golden State Warriors,27.4,15.0,9.0,0.625,15,9,110.5,106.1,4.4,97.0,0.272,0.379,0.562,,0.529,12.7,23.9,0.2,,0.481,13.1,72.4,0.226
5.0,Miami Heat,28.7,7.0,7.0,0.5,9,5,105.1,101.7,3.4,90.2,0.264,0.238,0.539,,0.5,12.8,23.0,0.202,,0.451,10.4,80.5,0.241
6.0,Indiana Pacers,26.4,3.0,4.0,0.429,4,3,105.5,103.9,1.6,88.8,0.319,0.284,0.549,,0.495,14.5,23.5,0.261,,0.437,12.8,67.2,0.246
7.0,Los Angeles Clippers,29.3,2.0,4.0,0.333,3,3,104.9,103.9,1.0,93.7,0.345,0.229,0.502,,0.471,9.0,23.5,0.216,,0.467,12.0,71.3,0.193
8.0,Atlanta Hawks,28.3,4.0,6.0,0.4,5,5,103.5,104.5,-1.0,95.7,0.242,0.375,0.533,,0.494,13.3,20.7,0.192,,0.487,12.7,75.0,0.175
9.0,Portland Trail Blazers,24.8,5.0,6.0,0.455,5,6,108.1,110.7,-2.6,96.2,0.287,0.351,0.523,,0.483,11.5,26.6,0.212,,0.507,10.1,75.5,0.22
10.0,Toronto Raptors,26.1,10.0,10.0,0.5,7,13,102.8,107.5,-4.7,89.4,0.301,0.282,0.507,,0.463,12.4,25.1,0.222,,0.514,13.6,77.3,0.237
11.0,Boston Celtics,25.0,2.0,4.0,0.333,2,4,93.8,100.5,-6.7,98.3,0.235,0.352,0.475,,0.432,12.9,21.5,0.184,,0.481,13.3,80.6,0.191
12.0,Charlotte Hornets,26.9,3.0,4.0,0.429,1,6,99.2,109.0,-9.8,91.0,0.309,0.231,0.494,,0.432,9.4,15.9,0.259,,0.517,11.8,75.9,0.186
13.0,Detroit Pistons,24.1,0.0,4.0,0.0,1,3,109.4,119.2,-9.8,86.8,0.292,0.309,0.559,,0.537,11.0,18.4,0.189,,0.546,8.6,75.5,0.147
14.0,Houston Rockets,28.5,1.0,4.0,0.2,0,5,92.7,111.8,-19.1,98.4,0.32,0.332,0.467,,0.43,16.3,29.9,0.206,,0.552,12.9,77.1,0.199
15.0,Dallas Mavericks,30.4,1.0,4.0,0.2,0,5,102.1,122.0,-19.9,91.8,0.298,0.264,0.511,,0.474,11.4,21.5,0.207,,0.537,12.0,65.5,0.278
16.0,Memphis Grizzlies,30.8,0.0,4.0,0.0,0,4,90.9,115.6,-24.7,89.1,0.215,0.197,0.455,,0.423,14.8,28.8,0.151,,0.552,13.7,77.3,0.246
,League Average,27.4,,,,6,5,106.7,106.7,,93.0,0.283,0.31,0.534,,0.495,12.4,24.4,0.212,,0.495,12.4,75.6,0.212
