Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Unnamed: 20_level_0,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors
Rk,Tm,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Unnamed: 15_level_1,eFG%,TOV%,ORB%,FT/FGA,Unnamed: 20_level_1,eFG%,TOV%,DRB%,FT/FGA
1.0,San Antonio Spurs,28.7,15.0,6.0,0.714,15,6,108.7,101.1,7.6,89.6,0.261,0.253,0.547,,0.511,12.3,23.3,0.199,,0.475,12.8,73.8,0.162
2.0,Miami Heat,30.1,16.0,7.0,0.696,17,6,110.2,102.9,7.3,87.3,0.303,0.264,0.559,,0.518,13.1,25.2,0.232,,0.48,15.6,71.1,0.237
3.0,New York Knicks,29.6,6.0,6.0,0.5,7,5,101.4,98.3,3.1,86.6,0.222,0.288,0.498,,0.46,11.5,24.2,0.174,,0.47,17.1,76.5,0.276
4.0,Brooklyn Nets,28.5,3.0,4.0,0.429,4,3,107.8,105.6,2.2,88.3,0.304,0.232,0.524,,0.479,10.9,27.4,0.23,,0.497,12.4,74.0,0.171
5.0,Oklahoma City Thunder,26.9,5.0,6.0,0.455,6,5,105.1,103.7,1.4,92.8,0.295,0.303,0.534,,0.479,12.9,23.0,0.247,,0.468,12.5,76.0,0.254
6.0,Memphis Grizzlies,27.9,8.0,7.0,0.533,8,7,105.0,104.3,0.7,88.4,0.357,0.182,0.502,,0.447,10.2,27.2,0.267,,0.493,13.8,77.5,0.219
7.0,Golden State Warriors,24.6,6.0,6.0,0.5,6,6,106.4,106.2,0.2,94.0,0.258,0.265,0.546,,0.513,14.9,27.5,0.19,,0.483,11.9,75.0,0.234
8.0,Indiana Pacers,25.6,11.0,8.0,0.579,10,9,104.5,104.4,0.1,87.3,0.384,0.258,0.528,,0.475,15.9,32.4,0.284,,0.473,11.4,76.8,0.222
9.0,Denver Nuggets,26.4,2.0,4.0,0.333,2,4,105.9,110.2,-4.3,97.2,0.35,0.265,0.526,,0.479,12.9,26.3,0.255,,0.554,17.0,72.9,0.209
10.0,Atlanta Hawks,27.3,2.0,4.0,0.333,2,4,98.0,103.6,-5.6,91.2,0.338,0.241,0.503,,0.462,12.0,18.6,0.231,,0.455,14.4,70.0,0.284
11.0,Boston Celtics,29.7,2.0,4.0,0.333,2,4,92.9,98.9,-6.0,87.1,0.312,0.3,0.525,,0.463,18.1,14.0,0.268,,0.462,12.7,76.3,0.17
12.0,Houston Rockets,25.4,2.0,4.0,0.333,2,4,105.3,111.4,-6.1,95.0,0.342,0.416,0.537,,0.496,14.5,24.8,0.243,,0.511,12.0,77.2,0.258
13.0,Los Angeles Clippers,29.1,2.0,4.0,0.333,2,4,107.5,113.8,-6.3,88.0,0.314,0.254,0.552,,0.506,13.5,24.3,0.246,,0.486,10.2,73.3,0.344
14.0,Chicago Bulls,27.5,5.0,7.0,0.417,3,9,102.5,110.0,-7.5,87.4,0.287,0.213,0.511,,0.472,13.7,28.4,0.206,,0.501,11.9,74.5,0.255
15.0,Milwaukee Bucks,26.1,0.0,4.0,0.0,0,4,94.0,110.3,-16.3,90.7,0.264,0.3,0.498,,0.472,15.9,21.1,0.166,,0.544,16.5,70.7,0.255
16.0,Los Angeles Lakers,29.2,0.0,4.0,0.0,0,4,92.5,112.9,-20.4,92.1,0.237,0.237,0.495,,0.474,16.1,20.2,0.144,,0.527,9.8,78.3,0.185
,League Average,27.8,,,,5,5,104.8,104.8,,89.5,0.303,0.259,0.529,,0.486,13.3,25.4,0.227,,0.486,13.3,74.6,0.227
