Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Unnamed: 22_level_0,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0
Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Unnamed: 17_level_1,eFG%,TOV%,ORB%,FT/FGA,Unnamed: 22_level_1,eFG%,TOV%,DRB%,FT/FGA,Unnamed: 27_level_1,Arena,Attend.,Attend./G
15.0,Brooklyn Nets*,28.0,45.0,37.0,43,39,0.85,0.18,1.03,115.0,114.1,0.9,98.3,0.26,0.397,0.598,,0.562,12.7,19.6,0.208,,0.53,12.2,73.7,0.212,,Barclays Center,724439,17669
16.0,Los Angeles Lakers*,27.9,43.0,39.0,42,40,0.57,-0.15,0.43,114.5,113.9,0.6,101.3,0.299,0.351,0.582,,0.542,12.3,22.8,0.232,,0.535,10.9,76.3,0.171,,Crypto.com Arena,763168,18614
17.0,Los Angeles Clippers*,29.7,44.0,38.0,42,40,0.5,-0.19,0.31,115.0,114.5,0.5,98.0,0.278,0.387,0.588,,0.551,12.8,22.9,0.217,,0.543,11.7,76.6,0.195,,Crypto.com Arena,720543,17574
18.0,Atlanta Hawks*,24.9,41.0,41.0,42,40,0.29,0.02,0.32,116.6,116.3,0.3,100.7,0.244,0.331,0.579,,0.541,11.2,25.1,0.2,,0.552,12.4,75.8,0.206,,State Farm Arena,719787,17556
19.0,Dallas Mavericks,27.8,38.0,44.0,41,41,0.07,-0.22,-0.14,116.8,116.7,0.1,96.6,0.298,0.487,0.599,,0.565,11.4,18.0,0.225,,0.549,11.9,75.5,0.226,,American Airlines Center,827282,20178
20.0,Minnesota Timberwolves*,25.8,42.0,40.0,41,41,-0.04,-0.18,-0.22,113.7,113.8,-0.1,101.0,0.271,0.381,0.592,,0.56,13.6,21.5,0.205,,0.54,13.3,74.3,0.225,,Target Center,687510,16769
21.0,Miami Heat*,27.7,44.0,38.0,40,42,-0.32,0.18,-0.13,113.0,113.3,-0.3,96.3,0.27,0.408,0.574,,0.53,12.4,22.8,0.224,,0.561,14.5,77.7,0.198,,FTX Arena,807190,19688
22.0,Utah Jazz,26.5,37.0,45.0,39,43,-0.94,-0.09,-1.03,115.8,116.7,-0.9,100.5,0.265,0.421,0.584,,0.547,13.3,26.8,0.209,,0.541,10.9,75.2,0.205,,Vivint Arena,728240,17762
23.0,Washington Wizards,26.2,35.0,47.0,38,44,-1.21,0.15,-1.06,114.4,115.6,-1.2,98.6,0.258,0.365,0.585,,0.55,12.7,22.6,0.202,,0.54,11.0,76.1,0.194,,Capital One Arena,710481,17329
24.0,Orlando Magic,23.1,34.0,48.0,35,47,-2.56,0.17,-2.39,111.6,114.2,-2.6,99.3,0.29,0.361,0.573,,0.532,13.4,23.8,0.227,,0.55,13.1,77.7,0.211,,Amway Center,728405,17766
25.0,Indiana Pacers,24.5,35.0,47.0,33,49,-3.18,0.28,-2.91,114.6,117.7,-3.1,101.1,0.265,0.413,0.581,,0.545,13.0,23.4,0.209,,0.554,13.0,72.2,0.229,,Gainbridge Fieldhouse,641562,15648
26.0,Portland Trail Blazers,25.1,33.0,49.0,31,51,-4.01,0.05,-3.96,114.8,118.8,-4.0,98.6,0.289,0.413,0.589,,0.549,13.1,22.4,0.23,,0.563,12.1,74.9,0.217,,Moda Center,767374,18716
27.0,Charlotte Hornets,25.3,27.0,55.0,26,56,-6.24,0.35,-5.89,109.2,115.3,-6.1,100.8,0.261,0.36,0.55,,0.516,12.3,23.8,0.195,,0.544,12.5,75.5,0.211,,Spectrum Center,702052,17123
28.0,Houston Rockets,22.1,22.0,60.0,23,59,-7.85,0.24,-7.62,111.4,119.3,-7.9,99.0,0.285,0.359,0.554,,0.516,14.0,30.2,0.215,,0.564,11.8,75.8,0.218,,Toyota Center,668865,16314
29.0,Detroit Pistons,24.1,17.0,65.0,22,60,-8.22,0.49,-7.73,110.7,118.9,-8.2,99.0,0.295,0.372,0.561,,0.52,13.3,24.9,0.227,,0.557,11.9,74.0,0.231,,Little Caesars Arena,759715,18596
30.0,San Antonio Spurs,23.9,22.0,60.0,19,63,-10.04,0.22,-9.82,110.2,120.0,-9.8,101.6,0.229,0.348,0.554,,0.525,13.0,25.6,0.17,,0.576,12.0,74.9,0.201,,AT&T Center,694434,15508
,League Average,26.3,,,41,41,0.0,0.0,0.0,114.8,114.8,,99.1,0.266,0.387,0.581,,0.545,12.5,24.0,0.208,,0.545,12.5,76.0,0.208,,,739257,17993
