Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Unnamed: 20_level_0,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors
Rk,Tm,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Unnamed: 15_level_1,eFG%,TOV%,ORB%,FT/FGA,Unnamed: 20_level_1,eFG%,TOV%,DRB%,FT/FGA
1.0,Golden State Warriors,26.4,16.0,5.0,0.762,16,5,108.7,100.5,8.2,93.7,0.263,0.362,0.55,,0.521,13.5,26.2,0.184,,0.458,13.1,75.3,0.228
2.0,Cleveland Cavaliers,26.6,14.0,6.0,0.7,13,7,107.4,103.1,4.3,90.7,0.325,0.347,0.524,,0.479,12.0,28.1,0.24,,0.467,11.1,77.5,0.209
3.0,Washington Wizards,27.5,6.0,4.0,0.6,6,4,105.8,101.7,4.1,94.6,0.28,0.276,0.533,,0.497,13.3,26.8,0.202,,0.47,12.2,77.2,0.177
4.0,Chicago Bulls,28.7,6.0,6.0,0.5,7,5,104.4,100.7,3.7,90.4,0.257,0.294,0.515,,0.474,13.1,26.8,0.199,,0.452,11.8,74.3,0.198
5.0,Los Angeles Clippers,28.8,7.0,7.0,0.5,8,6,108.4,107.1,1.3,98.7,0.361,0.3,0.548,,0.515,11.8,21.3,0.241,,0.505,12.5,75.0,0.25
6.0,San Antonio Spurs,30.3,3.0,4.0,0.429,4,3,107.8,107.3,0.5,94.5,0.298,0.307,0.536,,0.505,11.2,24.8,0.203,,0.509,11.5,78.6,0.224
7.0,Atlanta Hawks,27.7,8.0,8.0,0.5,8,8,103.4,103.6,-0.2,93.5,0.227,0.335,0.521,,0.484,11.9,21.6,0.178,,0.486,12.9,74.7,0.184
8.0,Memphis Grizzlies,30.3,6.0,5.0,0.545,5,6,103.0,104.4,-1.4,91.9,0.27,0.166,0.503,,0.451,10.5,23.7,0.225,,0.501,14.1,77.2,0.192
9.0,Houston Rockets,28.8,9.0,8.0,0.529,7,10,106.6,109.0,-2.4,101.5,0.44,0.33,0.544,,0.505,13.5,23.8,0.288,,0.514,12.5,74.4,0.21
10.0,Dallas Mavericks,30.4,1.0,4.0,0.2,2,3,107.9,112.0,-4.1,101.9,0.274,0.265,0.534,,0.493,12.1,28.1,0.209,,0.52,12.4,75.1,0.291
11.0,Brooklyn Nets,28.6,2.0,4.0,0.333,2,4,100.8,106.5,-5.7,94.0,0.251,0.289,0.522,,0.486,13.4,21.0,0.186,,0.505,12.3,77.8,0.161
12.0,Portland Trail Blazers,25.9,1.0,4.0,0.2,1,4,101.9,109.3,-7.4,92.0,0.258,0.313,0.504,,0.455,11.1,22.2,0.213,,0.465,7.9,78.1,0.254
13.0,New Orleans Pelicans,25.1,0.0,4.0,0.0,1,3,106.8,115.2,-8.4,92.0,0.264,0.252,0.536,,0.491,12.6,24.9,0.214,,0.516,11.0,69.1,0.211
14.0,Boston Celtics,24.6,0.0,4.0,0.0,1,3,101.5,111.5,-10.0,93.3,0.308,0.26,0.504,,0.453,12.6,22.2,0.239,,0.498,11.8,71.9,0.303
15.0,Milwaukee Bucks,24.8,2.0,4.0,0.333,1,5,91.8,104.6,-12.8,93.1,0.236,0.206,0.455,,0.419,11.9,23.9,0.166,,0.504,15.7,73.5,0.2
16.0,Toronto Raptors,25.9,0.0,4.0,0.0,1,3,99.3,113.7,-14.4,94.5,0.241,0.283,0.493,,0.459,10.9,19.0,0.173,,0.547,13.3,73.0,0.25
,League Average,27.7,,,,5,5,105.3,105.3,,94.4,0.296,0.302,0.526,,0.487,12.4,24.5,0.214,,0.487,12.4,75.5,0.214
