Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Unnamed: 20_level_0,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors
Rk,Team,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Unnamed: 15_level_1,eFG%,TOV%,ORB%,FT/FGA,Unnamed: 20_level_1,eFG%,TOV%,DRB%,FT/FGA
1.0,Philadelphia 76ers,28.2,4.0,0.0,1.0,3.0,1.0,115.6,103.1,12.5,89.7,0.178,0.389,0.563,,0.529,12.6,31.2,0.155,,0.513,12.6,86.0,0.172
2.0,Denver Nuggets,27.0,4.0,1.0,0.8,4.0,1.0,118.9,109.7,9.2,94.1,0.248,0.369,0.586,,0.552,11.0,24.9,0.196,,0.525,12.1,80.5,0.225
3.0,Phoenix Suns,29.7,4.0,1.0,0.8,3.0,2.0,123.6,117.1,6.5,98.7,0.333,0.273,0.614,,0.57,10.9,27.3,0.268,,0.529,12.3,73.2,0.246
4.0,Miami Heat,29.0,3.0,1.0,0.75,3.0,1.0,121.2,115.3,5.9,101.5,0.254,0.372,0.653,,0.628,14.3,18.3,0.195,,0.565,12.3,77.3,0.129
5.0,Los Angeles Lakers,27.6,3.0,1.0,0.75,3.0,1.0,111.4,105.9,5.5,98.2,0.263,0.352,0.557,,0.515,13.0,25.6,0.213,,0.477,11.4,74.2,0.178
6.0,Boston Celtics,27.9,3.0,2.0,0.6,3.0,2.0,118.2,113.4,4.8,101.4,0.183,0.43,0.62,,0.601,12.7,20.7,0.139,,0.526,11.4,74.9,0.136
7.0,New York Knicks,24.7,3.0,1.0,0.75,3.0,1.0,107.1,102.7,4.4,91.5,0.293,0.359,0.52,,0.478,14.1,33.7,0.219,,0.503,15.8,74.2,0.18
8.0,Golden State Warriors,28.6,2.0,2.0,0.5,2.0,2.0,114.2,112.5,1.7,102.7,0.254,0.481,0.583,,0.543,13.2,24.7,0.21,,0.5,10.8,72.3,0.203
9.0,Sacramento Kings,25.5,2.0,2.0,0.5,2.0,2.0,112.5,114.2,-1.7,102.7,0.266,0.396,0.539,,0.5,10.8,27.7,0.203,,0.543,13.2,75.3,0.21
10.0,Cleveland Cavaliers,25.1,1.0,3.0,0.25,1.0,3.0,102.7,107.1,-4.4,91.5,0.246,0.379,0.535,,0.503,15.8,25.8,0.18,,0.478,14.1,66.3,0.219
11.0,Atlanta Hawks,25.2,2.0,3.0,0.4,2.0,3.0,113.4,118.2,-4.8,101.4,0.165,0.39,0.554,,0.526,11.4,25.1,0.136,,0.601,12.7,79.3,0.139
12.0,Memphis Grizzlies,24.2,1.0,3.0,0.25,1.0,3.0,105.9,111.4,-5.5,98.2,0.207,0.406,0.519,,0.477,11.4,25.8,0.178,,0.515,13.0,74.4,0.213
13.0,Milwaukee Bucks,30.7,1.0,3.0,0.25,1.0,3.0,115.3,121.2,-5.9,101.5,0.167,0.465,0.586,,0.565,12.3,22.7,0.129,,0.628,14.3,81.7,0.195
14.0,Los Angeles Clippers,30.2,1.0,4.0,0.2,2.0,3.0,117.1,123.6,-6.5,98.7,0.298,0.381,0.577,,0.529,12.3,26.8,0.246,,0.57,10.9,72.7,0.268
15.0,Minnesota Timberwolves,27.4,1.0,4.0,0.2,1.0,4.0,109.7,118.9,-9.2,94.1,0.293,0.39,0.565,,0.525,12.1,19.5,0.225,,0.552,11.0,75.1,0.196
16.0,Brooklyn Nets,27.3,0.0,4.0,0.0,1.0,3.0,103.1,115.6,-12.5,89.7,0.236,0.447,0.542,,0.513,12.6,14.0,0.172,,0.529,12.6,68.8,0.155
17.0,Chicago Bulls,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
18.0,New Orleans Pelicans,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
19.0,Oklahoma City Thunder,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
20.0,Toronto Raptors,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
,League Average,27.4,,,,2.0,2.0,113.6,113.6,,97.3,0.243,0.391,0.571,,,12.4,24.7,0.192,,,12.4,75.3,0.192
