Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Unnamed: 20_level_0,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors
Rk,Tm,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Unnamed: 15_level_1,eFG%,TOV%,ORB%,FT/FGA,Unnamed: 20_level_1,eFG%,TOV%,DRB%,FT/FGA
1.0,Dallas Mavericks,31.6,16.0,5.0,0.762,15,6,112.9,106.3,6.6,86.6,0.339,0.297,0.571,,0.519,13.0,25.1,0.274,,0.482,13.5,71.7,0.245
2.0,Chicago Bulls,26.0,9.0,7.0,0.563,11,5,105.8,100.9,4.9,86.9,0.288,0.238,0.51,,0.461,13.1,32.3,0.226,,0.462,13.9,76.1,0.256
3.0,Miami Heat,28.0,14.0,7.0,0.667,13,8,106.4,103.4,3.0,86.3,0.379,0.244,0.542,,0.485,13.9,26.0,0.295,,0.475,13.0,75.4,0.215
4.0,Orlando Magic,27.2,2.0,4.0,0.333,3,3,102.4,100.3,2.1,86.6,0.367,0.31,0.503,,0.449,12.7,28.9,0.27,,0.465,13.1,76.6,0.205
5.0,Oklahoma City Thunder,23.8,9.0,8.0,0.529,10,7,109.5,107.5,2.0,90.8,0.393,0.25,0.548,,0.482,14.2,31.3,0.321,,0.46,11.4,74.4,0.305
6.0,Boston Celtics,29.9,5.0,4.0,0.556,5,4,105.1,103.6,1.5,89.1,0.262,0.208,0.552,,0.514,15.4,23.6,0.204,,0.466,14.2,72.1,0.276
7.0,Memphis Grizzlies,26.2,7.0,6.0,0.538,6,7,105.4,106.1,-0.7,90.0,0.335,0.144,0.512,,0.46,11.9,28.1,0.255,,0.482,14.3,72.2,0.289
8.0,Los Angeles Lakers,30.1,4.0,6.0,0.4,5,5,107.8,109.3,-1.5,86.5,0.315,0.213,0.526,,0.477,12.4,30.8,0.244,,0.524,13.7,78.8,0.245
9.0,San Antonio Spurs,29.7,2.0,4.0,0.333,2,4,102.2,105.6,-3.4,90.8,0.369,0.235,0.526,,0.471,13.8,23.6,0.281,,0.498,13.1,76.8,0.238
10.0,Atlanta Hawks,26.7,6.0,6.0,0.5,4,8,100.4,105.5,-5.1,85.9,0.289,0.184,0.505,,0.464,12.7,22.9,0.21,,0.47,12.4,70.6,0.233
11.0,Denver Nuggets,26.4,1.0,4.0,0.2,2,3,103.4,108.5,-5.1,94.2,0.468,0.239,0.525,,0.468,11.6,17.2,0.33,,0.468,12.5,70.8,0.343
12.0,Portland Trail Blazers,27.6,2.0,4.0,0.333,2,4,106.3,112.5,-6.2,83.0,0.294,0.228,0.534,,0.487,12.2,24.4,0.23,,0.507,12.5,71.5,0.253
13.0,Indiana Pacers,25.4,1.0,4.0,0.2,1,4,100.2,108.5,-8.3,90.0,0.304,0.192,0.496,,0.445,14.3,29.1,0.234,,0.461,14.8,63.2,0.291
14.0,New Orleans Hornets,26.0,2.0,4.0,0.333,2,4,104.7,113.1,-8.4,85.3,0.36,0.195,0.537,,0.488,13.4,21.2,0.267,,0.5,12.9,67.7,0.295
15.0,Philadelphia 76ers,24.6,1.0,4.0,0.2,1,4,100.7,109.3,-8.6,86.0,0.213,0.201,0.485,,0.453,10.6,23.9,0.154,,0.462,11.3,69.1,0.303
16.0,New York Knicks,26.7,0.0,4.0,0.0,1,3,99.0,108.2,-9.2,91.7,0.298,0.286,0.483,,0.435,14.0,30.7,0.223,,0.52,15.7,69.3,0.174
,League Average,27.5,,,,5,5,106.0,106.0,,87.8,0.334,0.231,0.529,,0.478,13.2,26.9,0.258,,0.478,13.2,73.1,0.258
