Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Unnamed: 22_level_0,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0
Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Unnamed: 17_level_1,eFG%,TOV%,ORB%,FT/FGA,Unnamed: 22_level_1,eFG%,TOV%,DRB%,FT/FGA,Unnamed: 27_level_1,Arena,Attend.,Attend./G
1.0,San Antonio Spurs*,28.5,59.0,23.0,63,19,7.8,0.03,7.84,107.5,98.8,8.7,88.9,0.329,0.216,0.534,,0.492,13.2,29.1,0.238,,0.452,14.7,73.6,0.236,,SBC Center,750970,18316
2.0,Phoenix Suns*,25.2,62.0,20.0,59,23,7.12,-0.04,7.08,114.5,107.1,7.4,95.9,0.296,0.289,0.571,,0.534,12.4,27.5,0.222,,0.478,12.0,68.3,0.176,,America West Arena,726066,17709
3.0,Miami Heat*,28.0,59.0,23.0,59,23,6.52,-0.76,5.77,110.2,103.1,7.1,90.8,0.387,0.198,0.559,,0.524,13.1,27.0,0.26,,0.46,12.4,74.1,0.242,,AmericanAirlines Arena,815143,19882
4.0,Dallas Mavericks*,27.7,58.0,24.0,57,25,5.74,0.11,5.86,110.3,104.1,6.2,92.7,0.346,0.19,0.545,,0.492,12.5,28.6,0.273,,0.472,14.3,70.2,0.239,,American Airlines Center,822533,20062
5.0,Houston Rockets*,29.7,51.0,31.0,53,29,4.04,0.23,4.27,106.2,101.7,4.5,88.8,0.309,0.237,0.534,,0.486,13.5,26.3,0.242,,0.459,12.9,74.5,0.245,,Toyota Center,663444,16182
6.0,Detroit Pistons*,27.9,54.0,28.0,53,29,3.87,-0.55,3.31,105.6,101.2,4.4,87.2,0.335,0.164,0.519,,0.472,13.3,31.2,0.247,,0.461,13.5,73.0,0.207,,The Palace of Auburn Hills,905116,22076
7.0,Seattle SuperSonics*,26.0,52.0,30.0,48,34,2.29,0.3,2.59,112.2,109.6,2.6,87.9,0.328,0.281,0.546,,0.495,13.0,32.4,0.259,,0.496,12.9,71.3,0.249,,KeyArena at Seattle Center,675490,16475
8.0,Memphis Grizzlies*,26.3,45.0,37.0,48,34,2.29,0.34,2.64,105.5,102.9,2.6,88.5,0.323,0.237,0.535,,0.489,14.3,27.1,0.243,,0.466,15.4,69.9,0.27,,FedEx Forum,691362,16862
9.0,Sacramento Kings*,27.7,50.0,32.0,47,35,2.16,0.4,2.56,110.5,108.2,2.3,93.0,0.287,0.2,0.541,,0.496,12.0,28.8,0.226,,0.493,13.3,69.0,0.214,,ARCO Arena (II),709997,17317
10.0,Denver Nuggets*,26.7,49.0,33.0,47,35,2.02,0.2,2.23,106.0,103.9,2.1,93.5,0.35,0.142,0.535,,0.483,13.8,28.4,0.267,,0.482,15.1,71.7,0.247,,Pepsi Center,723949,17657
11.0,Minnesota Timberwolves,29.0,44.0,38.0,45,37,1.45,0.28,1.73,108.2,106.6,1.6,89.1,0.275,0.173,0.534,,0.489,12.7,28.6,0.219,,0.472,11.2,71.4,0.208,,Target Center,704438,17181
12.0,Chicago Bulls*,25.0,47.0,35.0,44,38,1.06,-0.41,0.65,101.4,100.3,1.1,92.4,0.311,0.217,0.517,,0.471,15.5,28.4,0.233,,0.454,14.4,72.6,0.262,,United Center,828384,20204
13.0,Boston Celtics*,27.1,45.0,37.0,43,39,0.87,-0.52,0.35,107.5,106.6,0.9,93.3,0.357,0.192,0.551,,0.501,14.7,27.2,0.273,,0.481,14.2,70.1,0.274,,FleetCenter,656081,16002
14.0,Cleveland Cavaliers,26.5,42.0,40.0,43,39,0.79,-0.52,0.27,106.6,105.7,0.9,89.7,0.325,0.135,0.518,,0.47,13.0,32.5,0.244,,0.485,14.1,71.5,0.248,,Gund Arena,784249,19128
