Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Unnamed: 22_level_0,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0
15.0,Indiana Pacers*,28.3,44.0,38.0,43,39,0.76,-0.27,0.49,105.5,104.6,0.9,87.2,0.358,0.255,0.534,,0.476,14.1,26.4,0.283,,0.472,13.6,71.3,0.261,,Conseco Fieldhouse,696764,16994
16.0,Washington Wizards*,25.3,45.0,37.0,40,42,-0.33,-0.38,-0.71,107.2,107.5,-0.3,93.3,0.364,0.22,0.523,,0.474,12.9,31.1,0.264,,0.498,14.6,70.0,0.23,,MCI Center,705069,17197
17.0,Philadelphia 76ers*,26.4,43.0,39.0,39,43,-0.74,-0.33,-1.07,103.5,104.3,-0.8,94.9,0.326,0.216,0.528,,0.475,14.2,25.4,0.257,,0.485,15.4,72.7,0.267,,Wachovia Center,732686,17870
18.0,Los Angeles Clippers,25.5,37.0,45.0,39,43,-0.77,0.3,-0.47,105.5,106.4,-0.9,89.1,0.357,0.105,0.533,,0.477,14.9,30.3,0.278,,0.48,13.0,71.3,0.235,,STAPLES Center,696181,16980
19.0,New Jersey Nets*,27.8,42.0,40.0,36,46,-1.5,-0.32,-1.82,101.4,103.1,-1.7,89.1,0.318,0.187,0.512,,0.463,13.7,25.5,0.242,,0.479,15.2,73.2,0.278,,Continental Airlines Arena,618681,15090
20.0,Toronto Raptors,27.0,33.0,49.0,36,46,-1.62,-0.19,-1.81,106.9,108.7,-1.8,92.7,0.316,0.253,0.539,,0.492,12.5,23.7,0.244,,0.499,13.4,71.1,0.24,,Air Canada Centre,703388,17156
21.0,Golden State Warriors,26.7,34.0,48.0,35,47,-2.16,0.42,-1.74,104.7,106.9,-2.2,93.3,0.278,0.252,0.512,,0.475,12.3,27.8,0.201,,0.491,13.9,69.7,0.227,,Oakland Arena,670368,16350
22.0,Orlando Magic,26.5,36.0,46.0,35,47,-2.24,-0.27,-2.52,104.9,107.3,-2.4,94.7,0.35,0.137,0.529,,0.478,14.6,29.9,0.265,,0.484,13.2,71.3,0.255,,TD Waterhouse Centre,597942,14584
23.0,New York Knicks,27.3,33.0,49.0,34,48,-2.44,-0.28,-2.72,106.2,108.9,-2.7,90.7,0.312,0.188,0.531,,0.485,13.8,28.3,0.239,,0.501,13.8,71.2,0.265,,Madison Square Garden (IV),800144,19516
24.0,Milwaukee Bucks,26.9,30.0,52.0,32,50,-2.99,-0.1,-3.09,106.6,109.8,-3.2,90.8,0.339,0.141,0.527,,0.475,13.0,29.0,0.261,,0.499,12.4,72.0,0.233,,Bradley Center,637009,15537
25.0,Los Angeles Lakers,26.0,34.0,48.0,33,49,-2.96,0.64,-2.32,108.1,111.4,-3.3,90.8,0.322,0.273,0.535,,0.485,13.4,29.5,0.251,,0.493,11.0,71.1,0.218,,STAPLES Center,770494,18793
26.0,Portland Trail Blazers,27.0,27.0,55.0,29,53,-4.0,0.55,-3.45,103.2,107.7,-4.5,89.8,0.303,0.181,0.524,,0.484,15.2,29.6,0.219,,0.479,12.6,67.7,0.204,,Rose Garden Arena,680374,16594
27.0,Utah Jazz,25.7,26.0,56.0,29,53,-4.27,0.53,-3.74,104.7,109.5,-4.8,88.4,0.361,0.121,0.522,,0.469,15.0,31.9,0.273,,0.499,14.2,72.3,0.34,,Delta Center,769014,18756
28.0,Charlotte Bobcats,24.9,18.0,64.0,24,58,-5.99,-0.16,-6.15,101.1,107.5,-6.4,92.3,0.306,0.128,0.497,,0.455,13.3,29.5,0.217,,0.497,14.7,70.9,0.269,,Charlotte Coliseum,591701,14432
29.0,New Orleans Hornets,27.5,18.0,64.0,21,61,-7.07,0.78,-6.3,99.7,107.7,-8.0,87.6,0.279,0.201,0.493,,0.446,14.2,29.1,0.214,,0.491,13.9,70.7,0.261,,New Orleans Arena,583070,14221
30.0,Atlanta Hawks,26.0,13.0,69.0,16,66,-9.71,0.09,-9.62,100.6,111.1,-10.5,91.4,0.299,0.146,0.504,,0.464,14.9,30.7,0.212,,0.513,14.0,72.1,0.289,,Philips Arena,586390,14302
,League Average,27.1,,,41,41,0.0,0.0,0.0,106.1,106.1,,90.9,0.324,0.196,0.529,,0.482,13.6,28.7,0.245,,0.482,13.6,71.3,0.245,,,709883,17314
